Loading mp_angel_city.bsp (rBSP version 29)...
Loaded  mp_angel_city.bsp
Loading mp_angel_city.bsp (rBSP version 29)...
Loaded  mp_angel_city.bsp
ENTITIES  NNYY  NOPE
PLANES  NNYY  NOPE
TEXDATA  YNYY  NOPE
VERTICES  NNYY  NOPE
MODELS  NYYY  NOPE
ENTITY_PARTITIONS  NYYY  YES!
PHYSICS_COLLIDE  NNYY  NOPE
VERTEX_NORMALS  NNYY  NOPE
GAME_LUMP  NYYY  NOPE
LEAF_WATERDATA  NYYY  NOPE
PAKFILE  NNYY  NOPE
CUBEMAPS  NYYY  NOPE
TEXDATA_STRING_DATA  NNYY  NOPE
TEXDATA_STRING_TABLE  NNYY  NOPE
WORLDLIGHTS_HDR  NYYY  NOPE
TRICOLL_TRIS  NYYY  NOPE
TRICOLL_NODES  NYYY  YES!
TRICOLL_HEADERS  NYYY  NOPE
PHYSICS_TRIANGLES  NYYY  NOPE
VERTS_UNLIT  NYYY  NOPE
VERTS_LIT_FLAT  NYYY  NOPE
VERTS_LIT_BUMP  NNYY  NOPE
MESH_INDICES  NNYY  NOPE
MESHES  NNYY  NOPE
MESH_BOUNDS  NNYY  NOPE
MATERIAL_SORT  NYYY  NOPE
LIGHTMAP_HEADERS  NNYY  NOPE
CM_GRID  NYYY  NOPE
CM_GRID_CELLS  NYYY  NOPE
CM_GEO_SETS  NNYY  NOPE
CM_GEO_SET_BOUNDS  NNYY  NOPE
CM_PRIMITIVES  NNYY  NOPE
CM_PRIMITIVE_BOUNDS  NNYY  NOPE
CM_UNIQUE_CONTENTS  NNYY  NOPE
CM_BRUSHES  NNYY  NOPE
CM_BRUSH_SIDE_PLANE_OFFSETS  NNYY  NOPE
CM_BRUSH_SIDE_PROPS  NNYY  NOPE
CM_BRUSH_TEX_VECS  NNYY  NOPE
TRICOLL_BEVEL_STARTS  NYYY  YES!
TRICOLL_BEVEL_INDICES  NYYY  YES!
LIGHTMAP_DATA_SKY  NNYY  NOPE
CSM_AABB_NODES  NYYY  NOPE
CSM_OBJ_REFS  NYYY  NOPE
LIGHTPROBES  NNYY  NOPE
STATIC_PROP_LIGHTPROBE_INDEX  NYYY  NOPE
LIGHTPROBE_TREE  NNYY  NOPE
LIGHTPROBE_REFS  NNYY  NOPE
LIGHTMAP_DATA_REAL_TIME_LIGHTS  NNYY  NOPE
CELL_BSP_NODES  NYYY  YES!
CELLS  NYYY  YES!
PORTALS  NYYY  YES!
PORTAL_VERTS  NYYY  YES!
PORTAL_EDGES  NYYY  YES!
PORTAL_VERT_EDGES  NYYY  YES!
PORTAL_VERT_REFS  NYYY  YES!
PORTAL_EDGE_REFS  NYYY  YES!
PORTAL_EDGE_ISECT_EDGE  NYYY  YES!
PORTAL_EDGE_ISECT_AT_VERT  NYYY  YES!
PORTAL_EDGE_ISECT_HEADER  NYYY  YES!
OCCLUSION_MESH_VERTS  NYYY  YES!
OCCLUSION_MESH_INDICES  NYYY  YES!
CELL_AABB_NODES  NNYY  NOPE
OBJ_REFS  NNYY  NOPE
OBJ_REF_BOUNDS  NNYY  NOPE
LEVEL_INFO  NYYY  NOPE
SHADOW_MESH_OPAQUE_VERTS  NNYY  NOPE
SHADOW_MESH_ALPHA_VERTS  NYYY  NOPE
SHADOW_MESH_INDICES  NNYY  NOPE
SHADOW_MESH_MESHES  NYYY  NOPE
ENTITIES_env  YES!
ENTITIES_fx  YES!
ENTITIES_script  YES!
ENTITIES_snd  YES!
ENTITIES_spawn  YES!
