LUMP,aim_dust.bsp,awp_metro.bsp,awp_museum.bsp,bigcity_main.bsp,bigcity_pvp.bsp,campaign_05.bsp,cs_aquarium.bsp,cs_assault.bsp,cs_estate.bsp,cs_italy.bsp,cs_italy_night.bsp,cs_militia.bsp,cs_office.bsp,cs_office_xmas.bsp,de_aztec.bsp,de_cbble.bsp,de_centered.bsp,de_cornerwork.bsp,de_cornerwork2.bsp,de_dust.bsp,de_dust2.bsp,de_dust2_decompressed.bsp,de_headquarter.bsp,de_highland.bsp,de_inferno.bsp,de_nuke.bsp,de_prodigy.bsp,de_sa02.bsp,de_sa03.bsp,de_storage.bsp,de_storm.bsp,de_survivor.bsp,de_tides.bsp,de_tosca.bsp,de_train.bsp,de_vantage.bsp,de_vertigo.bsp,dm_cargoship.bsp,dm_dustrush.bsp,dm_killhouse.bsp,dm_mboss.bsp,dm_playground.bsp,dm_sa01.bsp,dm_sewer.bsp,dm_shutdown.bsp,dm_uprising.bsp,duel_diner.bsp,ew_lasttrain.bsp,gb_varena.bsp,gm_giant.bsp,hm_multi01.bsp,hs2_assault.bsp,hs2_cargoship.bsp,hs2_estate.bsp,hs2_italy2.bsp,hs2_italy2_xmas.bsp,hs2_office.bsp,hs2_phouse.bsp,hs2_sa01.bsp,hs2_sa02.bsp,hs2_sa03.bsp,hs2_studio.bsp,hs_aqua.bsp,hs_dust2.bsp,hs_festival.bsp,hs_highland.bsp,hs_italy2.bsp,hs_italy2_xmas.bsp,hs_studio.bsp,mad_city.bsp,mad_city_big.bsp,testzone_transition1.bsp,testzone_transition2.bsp,tuto_walk.bsp,uc_aztec.bsp,uc_museum.bsp,uc_shutdown.bsp,zc_laboratory.bsp,zc_trainyard.bsp,zd_aztec.bsp,zd_boss.bsp,zd_internal.bsp,zd_italy.bsp,zd_lasttrain.bsp,zd_nuke.bsp,zd_park.bsp,zd_trainyard.bsp,zp_assault.bsp,zp_aztec.bsp,zp_estate.bsp,zp_italy.bsp,zp_militia.bsp,zp_storm.bsp,zp_uprising.bsp,zz_festival.bsp,zz_phouse.bsp,zz_prodigy.bsp
ENTITIES,2656,7956,4797,56622,39957,23755,16073,18432,11000,13155,12817,16082,19569,19519,11162,8411,7966,7484,7788,8293,8389,121096,10623,9608,18952,20689,12989,3264,6148,12461,5337,7433,11117,13024,13098,13856,10656,6664,2706,2206,8134,8352,3867,9711,13607,9713,15677,4837,3559,30354,21492,12005,15143,17390,18165,18590,9274,10110,11955,16230,12857,6208,15790,8044,14156,14819,13448,10265,31541,5333,10698,22081,2693,2526,6671,22151,19384,15582,9192,18025,8305,8765,21013,38389,22645,12408,11025,13234,13438,14076,13914,15738,12660
PLANES,28036,21832,47585,179380,205605,23427,66975,32939,30482,87387,83841,68951,35913,39137,109774,82985,52234,36238,14921,69160,130893,707720,22175,76370,84414,39772,52007,7061,210687,30309,32618,78596,62264,73013,27094,114792,53320,29496,32649,33817,72126,67381,16278,10537,42794,15768,101293,13626,47910,181602,69749,84531,66187,86610,83513,50376,48256,46404,242945,63677,58052,80471,25242,77879,49711,47618,26940,47370,46509,62603,108189,27136,25870,11378,8812,71663,76613,137227,55146,128241,58895,49793,41121,174742,87641,109202,29540,83453,47362,42195,21485,14187,52383
TEXDATA,822,2893,719,7847,13207,3195,2685,2936,1749,2438,2788,2168,1956,2224,676,2306,4176,2331,1672,2383,677,1440,2086,1664,3084,2989,2104,1109,962,2095,1696,2634,1146,2864,1416,2590,1685,1834,998,558,678,512,739,1077,1844,2895,1850,290,1017,4800,3292,2586,2055,2994,3049,1487,1237,1547,1469,2591,2177,659,1969,1533,2673,2683,2228,2666,2059,3724,1963,1890,550,529,1426,2932,4331,695,720,1432,2346,1318,3100,5259,2893,676,1679,2396,2120,1832,1892,1179,2120
VERTICES,11606,30662,50367,201327,276891,43327,37361,35177,43369,64084,62414,41055,41947,42143,55267,68646,53283,40248,34205,43468,74878,427248,66301,59561,65660,36796,30797,12261,53191,69613,36929,68841,47274,65760,36900,79527,55364,44367,13533,18219,43005,29875,15583,16386,33270,23789,45711,8359,51471,162798,63158,76589,73590,67709,72401,60267,38956,42693,83800,59561,27472,42382,23824,56000,41853,42489,34497,115014,110923,44483,37153,45357,10808,11747,15085,55255,66995,66898,18734,44416,46456,25914,41478,117907,85447,55275,42854,60657,44946,33553,20839,32300,31717
VISIBILITY,1456,14212,21180,849927,516303,17918,6791,117878,61641,44209,77137,75527,32549,32544,27956,184071,210523,34081,21703,48415,105320,1185617,9334,17222,50806,32237,14844,5434,46364,28364,10907,31488,10814,47775,28815,47166,16026,18159,1849,6214,376,13115,9251,7302,44899,18627,8323,833,23274,51040,34153,4830,33747,26879,29935,25519,4799,9107,50908,17312,4908,41092,23096,15121,58260,28506,384681,245105,357691,19633,8915,15423,1687,2221,8206,28800,48998,34490,786,9740,22161,7353,34002,124576,80717,28091,61641,64537,62721,44743,22153,26081,13777
NODES,14468,10947,33568,131108,150296,30948,14993,34378,23666,41984,49900,24557,28603,30051,62068,47576,52838,25896,15965,44256,101678,643392,11675,11048,44618,26706,27756,6985,99444,26952,10227,17888,15091,32753,27022,25145,24911,10436,14412,4000,2140,31800,9445,7235,33902,15462,43607,29726,15088,73679,45386,30057,38966,48934,44877,34386,23634,26595,119271,33153,15071,53142,15461,10684,42070,26505,55043,60114,105190,20039,20472,29564,9783,10451,7781,40844,53628,77676,14289,34050,22564,29971,37191,83212,66684,62277,22883,46470,36543,35213,12640,16378,26437
TEXINFO,7615,34368,36490,206466,330737,39971,42022,31738,45890,48532,46469,32242,30693,30794,48110,70772,68288,27142,23951,46952,54152,560304,52613,44199,68866,31206,26726,24669,45099,66787,43392,77419,37255,95481,22627,130835,40189,37760,12453,22244,18759,19347,7625,12574,38948,28673,38514,3525,60136,180538,51253,61395,65888,54491,55878,50596,31688,45344,66629,47953,31598,29922,19692,41489,35857,37005,28091,76549,82497,46096,38557,48138,8008,11273,10291,71198,73696,55890,19376,44011,49264,21939,35268,135031,66731,48055,44870,43368,29831,39079,18570,33282,27471
FACES,34382,88257,134062,514736,700440,121642,79620,92989,127552,173008,172644,76776,107395,108124,131282,150437,174380,107581,94966,136750,253446,1612944,178646,127279,200958,101625,81917,38973,119272,189726,85581,169355,94034,189275,105357,201884,163131,104926,37449,43030,55656,87416,26697,46166,97528,68310,96617,47319,154135,436077,174514,191151,213097,190692,194508,185143,105563,125010,212105,167678,59709,138145,67905,119673,121969,109843,96676,363627,354604,125752,70746,139579,26166,29815,40155,150422,166741,153582,39919,90685,145695,63963,121508,348946,223146,131392,129757,170010,93984,98502,63653,98698,82189
LIGHTING,1115228,0,0,0,5552844,0,0,0,0,0,2256767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2132743,0,0,0,0,864567,0,68581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2435544,397522,0,825672,689424,988019,4494247,876151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OCCLUSION,12,12,12,12,12,12,12,1832,1564,12,12,428,12,12,300,12,452,12,12,12,12,12,12,108,12,12,12,12,12,12,12,12,12,12,12,372,216,12,12,12,12,12,12,12,1468,12,12,12,12,12,364,12,12,12,12,148,12,12,12,12,12,12,1416,108,12,12,452,12,12,92,12,12,12,12,12,12,12,300,12,12,12,12,12,12,12,300,1564,12,428,1468,1416,148,12
