Developer,Game,Released,Region,Platform,Delisted,Branch Script
Arkane Studios,Dark Messiah: Might & Magic - Elements,2008-02-12,NA,Xbox 360
Arkane Studios,Dark Messiah of Might & Magic Multi-Player,2006-10-24,NA,PC,,arkane.dark_messiah_mp
Arkane Studios,Dark Messiah of Might & Magic Singleplayer,2006-10-24,NA,PC,,arkane.dark_messiah_sp
Gearbox Software,Half-Life: Blue Shift,2001-06-12,NA,PC,,gearbox.blue_shift
Gearbox Software,Half-Life: Blue Shift,2005-08-29,WW,Steam,,gearbox.blue_shift
Gearbox Software,Half-Life: Opposing Force,1999-11-19,WW,PC,,valve.goldsrc
Gearbox Software,Half-Life: Opposing Force,2003-09-12,WW,Steam,,valve.goldsrc
Gearbox Software,James Bond 007: Nightfire,2002-11-28,NA,PC,,gearbox.nightfire
Id Software,Quake,1996-06-22,NA,PC;MS-DOS,,id_software.quake
Id Software,Quake,1996-07-05,WW,Linux,,id_software.quake
Id Software,Quake,1996-08-25,EU,PC;MS-DOS,,id_software.quake
Id Software,Quake,1997-08-28,NA,Mac OS,,id_software.quake
Id Software,Quake,1997-10-28,EU,Saturn,,id_software.quake
Id Software,Quake,1997-12-02,NA,Saturn,,id_software.quake
Id Software,Quake,1998-03-24,NA,N64,,id_software.quake64
Id Software,Quake,1998-05-24,EU,N64,,id_software.quake64
Id Software,Quake,2007-05-31,WW,PC (Steam),,id_software.quake
Id Software,Quake,2021-08-19,WW,PS4;XBOne;Switch,,id_software.quake;id_software.remake_quake
Id Software,Quake,2021-10-12,WW,PS5;XBOneX;XBOneS,,id_software.quake;id_software.remake_quake;id_software.quake64
Id Software,Quake II,1997-12-09,NA,PC,,id_software.quake2
Id Software,Quake II,1999-07-07,NA,N64
Id Software,Quake II,1999-10-05,NA,PSX
Id Software,Quake II,2005-11-18,NA,Xbox 360
Id Software,Quake II,2023-08-10,WW,Steam;Switch;PS4;PS5;XBOneX;XBOneS,,id_software.quake2;id_software.qbism
Id Software,Quake III Arena,1999-12-02,NA,PC,,id_software.quake3
Id Software,Quake III Arena,2000-10-19,NA,Dreamcast,,id_software.quake3
Id Software,Quake III Arena,2007-08-03,WW,PC,,id_software.quake3
Id Software,Quake Arena Arcade,2010-12-15,WW,XBLA
Id Software,Quake III Revolution,2001-03-26,NA,PS2,,id_software.quake3
Id Software,Quake III: Team Arena,2000-12-18,NA,PC,,id_software.quake3
Id Software,Quake III: Team Arena,2007-08-03,WW,PC,,id_software.quake3
Id Software,Quake Live,2010-08-06,WW,PC,,id_software.quake3
Infinity Ward,Call of Duty,2003-10-29,NA,PC,,infinity_ward.call_of_duty1
Infinity Ward,Call of Duty 2,2005-10-25,NA,PC,,infinity_ward.call_of_duty2
Infinity Ward,Call of Duty 4: Modern Warfare,2007-11-05,NA,PC,,infinity_ward.modern_warfare
Infinity Ward,Call of Duty 4: Modern Warfare,2007-11-05,NA,PS3;X360
Infinity Ward,Call of Duty 4: Modern Warfare,2009-11-10,WW,Wii
Infinity Ward,Call of Duty: Burnville Demo,2003-08-29,WW,PC,,infinity_ward.call_of_duty1_demo
Infinity Ward,Call of Duty: Dawnville Demo,2003-06-06,WW,PC,,infinity_ward.call_of_duty1_demo
Namco,Counter-Strike: Neo,2005-10-27,JP,Arcade
Nexon,Counter-Strike Nexon: Zombies,2014-10-07,KOR,Steam,2019-10-30
Nexon,Counter-Strike Nexon: Studio,2019-10-30,KOR,Steam
Nexon,Counter-Strike: Online,2008-07-24,KOR,PC
Nexon,Counter-Strike: Online 2,2013-11-28,KOR,PC,,nexon.cso2;nexon.cso2_2018
Nexon,Titanfall: Online,2016-12-15,KOR,PC,2015-12-21,respawn.titanfall
Nexon,Vindictus,2012-01-21,KOR,PC,,nexon.vindictus69
Nexon,Vindictus,2012-06-23,WW,Steam,,nexon.vindictus
Paranoia Team,Half-Life: Paranoia,2007-12-03,RU,PC,,valve.goldsrc
Paranoia Team,Half-Life: Paranoia,2010-10-27,RU,Dreamcast,,valve.goldsrc
Pipe Dream Interactive,Soldier of Fortune,2001-11-13,NA,PS2,,id_software.quake2
Pipe Dream Interactive,Star Trek: Voyager - Elite Force,2001-12-11,NA,PS2,,id_software.quake2
Raven Software,Heretic II,1998-11-24,NA,PC,,id_software.quake2
Raven Software,Heretic II,2000-05-08,NA,Amiga,,raven.soldier_of_fortune
Raven Software,Hexen II,1997-09-11,NA,PC,,raven.hexen2
Raven Software,Soldier of Fortune,2000-03-31,EU,PC,,raven.soldier_of_fortune
Raven Software,Soldier of Fortune II: Double Helix,2002-05-31,NA,PC,,raven.soldier_of_fortune2
Raven Software,Soldier of Fortune II: Double Helix,2003-06-20,EU,Xbox,,raven.soldier_of_fortune2
Raven Software,Star Trek: Voyager - Elite Force,2000-09-15,EU,PC,,raven.soldier_of_fortune2
Raven Software,Star Wars: Jedi Knight - Jedi Academy,2003-09-16,NA,PC,,raven.soldier_of_fortune2
Raven Software,Star Wars: Jedi Knight - Jedi Academy,2003-09-17,NA,Mac OS,,raven.soldier_of_fortune2
Raven Software,Star Wars: Jedi Knight - Jedi Academy,2003-11-18,NA,Xbox,,raven.soldier_of_fortune2
Raven Software,Star Wars: Jedi Knight - Jedi Academy,2020-03-26,WW,Switch;PS4,,raven.soldier_of_fortune2
Raven Software,Star Wars: Jedi Knight II - Jedi Outcast,2002-03-28,NA,PC,,raven.soldier_of_fortune2
Raven Software,Star Wars: Jedi Knight II - Jedi Outcast,2002-11-19,NA,GC;Xbox,,raven.soldier_of_fortune2
Raven Software,Star Wars: Jedi Knight II - Jedi Outcast,2019-09-24,WW,Switch;PS4,,raven.soldier_of_fortune2
Respawn Entertainment,Apex Legends,2019-02-04,WW,Origin,,respawn.apex_legends
Respawn Entertainment,Apex Legends: Season 1 [Wild Frontier],2019-03-19,WW,Origin,,respawn.apex_legends
Respawn Entertainment,Apex Legends: Season 2 [Battle Charge],2019-07-02,WW,Origin,,respawn.apex_legends
Respawn Entertainment,Apex Legends: Season 3 [Meltdown],2019-10-01,WW,Origin,,respawn.apex_legends
Respawn Entertainment,Apex Legends: Season 4 [Assimilation],2020-02-04,WW,Origin,,respawn.apex_legends
