
Capture Point, , BRUSHES, FACES, , FACE TRIANGLES, DISPLACEMENT TRIANGLES, TOTAL TRIANGLES, VERTEX COUNT, INDEX COUNT
5gorge, , COULD NOT LOAD, COULD NOT LOAD, , COULD NOT LOAD, COULD NOT LOAD, COULD NOT LOAD, COULD NOT LOAD, COULD NOT LOAD
Coldfront, , 5357, 18368, , 55619, 92416, 148035, 366715, 439773
Egypt final, , 7442, 22806, , 61175, 82912, 144087, 352659, 427965
Fastlane, , 3593, 11456, , 35116, 13856, 48972, 98296, 144966
Foundry, , 5433, 13689, , 38713, 33280, 71993, 162119, 210261
Freight final1, , 7627, 21735, , 67052, 29312, 96364, 196150, 285630
Gorge, , COULD NOT LOAD, COULD NOT LOAD, , COULD NOT LOAD, COULD NOT LOAD, COULD NOT LOAD, COULD NOT LOAD, COULD NOT LOAD
Granary, , 5286, 16994, , 52572, 11712, 64284, 121156, 192042
Gravelpit, , 4658, 14893, , 46263, 24768, 71031, 147257, 208449
Gullywash final1, , 4428, 20695, , 63435, 54368, 117803, 265729, 350109
Junction final, , 3380, 8479, , 26399, 2336, 28735, 50169, 85911
Process final, , COULD NOT LOAD, COULD NOT LOAD, , COULD NOT LOAD, COULD NOT LOAD, COULD NOT LOAD, COULD NOT LOAD, COULD NOT LOAD
Snakewater final1, , COULD NOT LOAD, COULD NOT LOAD, , COULD NOT LOAD, COULD NOT LOAD, COULD NOT LOAD, COULD NOT LOAD, COULD NOT LOAD
Standin final, , 3217, 10154, , 30904, 44032, 74936, 182004, 222852
Steel, , 6262, 17238, , 52778, 6880, 59658, 107190, 177918
Sunshine, , COULD NOT LOAD, COULD NOT LOAD, , COULD NOT LOAD, COULD NOT LOAD, COULD NOT LOAD, COULD NOT LOAD, COULD NOT LOAD
Well, , 7715, 20907, , 66088, 6528, 72616, 126910, 216984
Yukon final, , COULD NOT LOAD, COULD NOT LOAD, , COULD NOT LOAD, COULD NOT LOAD, COULD NOT LOAD, COULD NOT LOAD, COULD NOT LOAD
Capture the Flag, , BRUSHES, FACES, , FACE TRIANGLES, DISPLACEMENT TRIANGLES, TOTAL TRIANGLES, VERTEX COUNT, INDEX COUNT
Sawmill, , 2726, 11570, , 39286, 22880, 62166, 130342, 185412
Turbine, , 2245, 6784, , 19787, 0, 19787, 33355, 59361
Well, , 5959, 16725, , 50541, 4896, 55437, 98187, 165573
King of the Hill, , BRUSHES, FACES, , FACE TRIANGLES, DISPLACEMENT TRIANGLES, TOTAL TRIANGLES, VERTEX COUNT, INDEX COUNT
Harvest final, , COULD NOT LOAD, COULD NOT LOAD, , COULD NOT LOAD, COULD NOT LOAD, COULD NOT LOAD, COULD NOT LOAD, COULD NOT LOAD
King, , COULD NOT LOAD, COULD NOT LOAD, , COULD NOT LOAD, COULD NOT LOAD, COULD NOT LOAD, COULD NOT LOAD, COULD NOT LOAD
Lakeside final, , COULD NOT LOAD, COULD NOT LOAD, , COULD NOT LOAD, COULD NOT LOAD, COULD NOT LOAD, COULD NOT LOAD, COULD NOT LOAD
Sawmill, , 2253, 9701, , 33369, 19936, 53305, 111947, 158967
Viaduct, , COULD NOT LOAD, COULD NOT LOAD, , COULD NOT LOAD, COULD NOT LOAD, COULD NOT LOAD, COULD NOT LOAD, COULD NOT LOAD
Payload, , BRUSHES, FACES, , FACE TRIANGLES, DISPLACEMENT TRIANGLES, TOTAL TRIANGLES, VERTEX COUNT, INDEX COUNT
Frontier final, , 5478, 17470, , 52938, 46240, 99178, 222690, 291672
Hoodoo final, , COULD NOT LOAD, COULD NOT LOAD, , COULD NOT LOAD, COULD NOT LOAD, COULD NOT LOAD, COULD NOT LOAD, COULD NOT LOAD
Swiftwater final1, , 6237, 21338, , 66091, 25536, 91627, 182183, 270093
Thundermountain, , 7334, 21107, , 64057, 55936, 119993, 267279, 349779
Upward, , 5084, 15685, , 53544, 18240, 71784, 137402, 212004
Payload Race, , BRUSHES, FACES, , FACE TRIANGLES, DISPLACEMENT TRIANGLES, TOTAL TRIANGLES, VERTEX COUNT, INDEX COUNT
Hightower, , COULD NOT LOAD, COULD NOT LOAD, , COULD NOT LOAD, COULD NOT LOAD, COULD NOT LOAD, COULD NOT LOAD, COULD NOT LOAD
Nightfall final, , 7993, 21048, , 62035, 32512, 94547, 198011, 278157
Pipeline, , 6942, 18591, , 54264, 7008, 61272, 111870, 182916
Special Delivery, , BRUSHES, FACES, , FACE TRIANGLES, DISPLACEMENT TRIANGLES, TOTAL TRIANGLES, VERTEX COUNT, INDEX COUNT
Doomsday, , COULD NOT LOAD, COULD NOT LOAD, , COULD NOT LOAD, COULD NOT LOAD, COULD NOT LOAD, COULD NOT LOAD, COULD NOT LOAD
