
2KOTH.BSP_*, , BRUSHES, FACES, , FACE TRIANGLES, DISPLACEMENT TRIANGLES, TOTAL TRIANGLES, VERTEX COUNT, INDEX COUNT
, , 16, 84, , 192, 0, 192, 360, 576
MARIO_*, , BRUSHES, FACES, , FACE TRIANGLES, DISPLACEMENT TRIANGLES, TOTAL TRIANGLES, VERTEX COUNT, INDEX COUNT
KART, , 1158, 7523, , 20523, 1280, 21803, 39249, 65169
ACHIEVEMENT_*, , BRUSHES, FACES, , FACE TRIANGLES, DISPLACEMENT TRIANGLES, TOTAL TRIANGLES, VERTEX COUNT, INDEX COUNT
engineer_idle_a1, , 1745, 5597, , 14032, 0, 14032, 25226, 42096
idle4life_v2, , 616, 2507, , 7113, 0, 7113, 12127, 21339
idle4life_v3, , 732, 2268, , 5996, 6144, 12140, 28772, 36132
idle_awesomebox37, , 695, 4061, , 11376, 0, 11376, 19498, 34128
idle_awesomebox8, , 345, 2565, , 7161, 0, 7161, 12291, 21483
idle_awesomebox9, , 420, 3117, , 8105, 0, 8105, 14339, 24315
idle_awesomebox_cm_rushy_v2, , 524, 3791, , 10620, 9408, 20028, 46114, 59616
AF_*, , BRUSHES, FACES, , FACE TRIANGLES, DISPLACEMENT TRIANGLES, TOTAL TRIANGLES, VERTEX COUNT, INDEX COUNT
battleshi, , 83, 553, , 1606, 0, 1606, 2712, 4818
overcooked_a1, , 49, 111, , 290, 0, 290, 512, 870
ANALOG_*, , BRUSHES, FACES, , FACE TRIANGLES, DISPLACEMENT TRIANGLES, TOTAL TRIANGLES, VERTEX COUNT, INDEX COUNT
clock, , 47, 170, , 410, 0, 410, 750, 1230
Arena, , BRUSHES, FACES, , FACE TRIANGLES, DISPLACEMENT TRIANGLES, TOTAL TRIANGLES, VERTEX COUNT, INDEX COUNT
a_supply_fixed8, , 270, 2077, , 5753, 0, 5753, 9907, 17259
aurora_b1, , 2328, 7220, , 22105, 24864, 46969, 109589, 138585
campania_a1, , 1504, 5725, , 16998, 2944, 19942, 36912, 59274
clearwater_a3, , 1112, 3078, , 8976, 6848, 15824, 34820, 46188
flood_a3, , 294, 930, , 2840, 0, 2840, 4700, 8520
granary, , 2367, 7809, , 23038, 8256, 31294, 63028, 93288
lumberyard, , 2281, 9096, , 29471, 5312, 34783, 63343, 103965
nucleu, , 1787, 4519, , 13505, 7424, 20929, 43887, 61395
offblast_final, , 2703, 7166, , 20984, 7424, 28408, 56780, 84012
plains_of_quiet_a2, , 159, 1541, , 3870, 58624, 62494, 180992, 184734
ravine, , 2361, 7060, , 23771, 15552, 39323, 83383, 116223
rural_a8, , 427, 2888, , 7799, 5056, 12855, 28567, 38301
sawmill, , 2122, 9405, , 32475, 19936, 52411, 110461, 156285
volcano_b0, , 1637, 4378, , 12556, 18144, 30700, 75156, 91218
volcano_b2a, , 1675, 4662, , 13677, 18272, 31949, 77225, 94959
watchtower, , 711, 3255, , 10036, 20096, 30132, 76170, 89400
well, , 1945, 4430, , 13305, 5408, 18713, 37881, 55377
AUTUMN_*, , BRUSHES, FACES, , FACE TRIANGLES, DISPLACEMENT TRIANGLES, TOTAL TRIANGLES, VERTEX COUNT, INDEX COUNT
university, , 183, 2328, , 6071, 0, 6071, 10727, 18213
BACKGROUND01.BSP_*, , BRUSHES, FACES, , FACE TRIANGLES, DISPLACEMENT TRIANGLES, TOTAL TRIANGLES, VERTEX COUNT, INDEX COUNT
BOT_*, , BRUSHES, FACES, , FACE TRIANGLES, DISPLACEMENT TRIANGLES, TOTAL TRIANGLES, VERTEX COUNT, INDEX COUNT
BRIDGE.BSP_*, , BRUSHES, FACES, , FACE TRIANGLES, DISPLACEMENT TRIANGLES, TOTAL TRIANGLES, VERTEX COUNT, INDEX COUNT
, , 131, 1094, , 3550, 0, 3550, 5738, 10650
BSP_*, , BRUSHES, FACES, , FACE TRIANGLES, DISPLACEMENT TRIANGLES, TOTAL TRIANGLES, VERTEX COUNT, INDEX COUNT
import_pro, , 75, 172, , 464, 192, 656, 1372, 1950
BULLET_*, , BRUSHES, FACES, , FACE TRIANGLES, DISPLACEMENT TRIANGLES, TOTAL TRIANGLES, VERTEX COUNT, INDEX COUNT
train, , 17, 365, , 950, 0, 950, 1680, 2850
CLIFFSIDE.BSP_*, , BRUSHES, FACES, , FACE TRIANGLES, DISPLACEMENT TRIANGLES, TOTAL TRIANGLES, VERTEX COUNT, INDEX COUNT
, , 42, 205, , 554, 0, 554, 964, 1662
COS_*, , BRUSHES, FACES, , FACE TRIANGLES, DISPLACEMENT TRIANGLES, TOTAL TRIANGLES, VERTEX COUNT, INDEX COUNT
mansion_a2, , 754, 2651, , 7425, 5312, 12737, 28047, 37287
Capture Point, , BRUSHES, FACES, , FACE TRIANGLES, DISPLACEMENT TRIANGLES, TOTAL TRIANGLES, VERTEX COUNT, INDEX COUNT
1cpad_a2, , 396, 1226, , 3367, 0, 3367, 5819, 10101
1cpad_a3, , 407, 1278, , 3527, 0, 3527, 6083, 10581
1cpadsecondstage_a1, , 332, 995, , 2723, 0, 2723, 4713, 8169
3timer, , 14, 84, , 184, 0, 184, 352, 552
across_a6_fix2, , 1297, 4116, , 10546, 0, 10546, 18778, 31638
burghausen_rc1, , 6751, 17581, , 50382, 20768, 71150, 145336, 209682
burghausen_rc1_event, , 7053, 17693, , 50625, 20768, 71393, 145803, 210411
coldfront, , 5357, 18368, , 55619, 92416, 148035, 366715, 439773
ctf_arena_holiday_space_hotel, , 150, 732, , 1782, 0, 1782, 3246, 5346
degrootkee, , 2817, 7403, , 21625, 13920, 35545, 76859, 104637
desertdisaster_a8_e, , 526, 2288, , 6157, 384, 6541, 11873, 19605
diamond, , 1073, 3348, , 9581, 256, 9837, 17013, 29463
distillery_a2, , 1909, 6838, , 19340, 4800, 24140, 46840, 71556
distillery_a6, , 3542, 11560, , 34488, 10688, 45176, 88456, 133704
dortsh_a4, , 863, 3007, , 8443, 0, 8443, 14457, 25329
egypt_final, , 7442, 22806, , 61175, 82912, 144087, 352659, 427965
fastlane, , 3593, 11456, , 35116, 13856, 48972, 98296, 144966
fastlane_pro_a4, , 3890, 12890, , 39663, 15712, 55375, 111191, 164043
foundry, , 5433, 13689, , 38713, 33280, 71993, 162119, 210261
freight_final1, , 7627, 21735, , 67052, 29312, 96364, 196150, 285630
granary, , 5286, 16994, , 52572, 11712, 64284, 121156, 192042
gravelpit, , 4658, 14893, , 46263, 24768, 71031, 147257, 208449
gullywash_final1, , 4428, 20695, , 63435, 54368, 117803, 265729, 350109
junction_final, , 3380, 8479, , 26399, 2336, 28735, 50169, 85911
last_call_a1a, , 666, 2742, , 7450, 4288, 11738, 25646, 34986
last_call_a5, , 885, 3364, , 9771, 4096, 13867, 28635, 41373
lo, , 340, 1258, , 3462, 0, 3462, 5978, 10386
mann_mall_a5, , 3162, 9706, , 26013, 0, 26013, 45425, 78039
mann_mall_a9, , 4592, 12767, , 37256, 0, 37256, 62790, 111768
mercenarypark_unpacked, , 5324, 18760, , 56475, 33152, 89627, 191875, 266517
mountainla, , 3667, 11046, , 34955, 32320, 67275, 152835, 200067
neighbor_b2, , 4183, 14053, , 42647, 3072, 45719, 79837, 136959
nonameyet_a1, , 250, 2003, , 5464, 0, 5464, 9470, 16392
orange_gamerland_classic, , 2117, 8869, , 27126, 128, 27254, 45244, 81756
orange_toyfort_tbrv2, , 4709, 18401, , 48694, 0, 48694, 85496, 146082
osiris_a30, , 1320, 6356, , 18097, 28096, 46193, 113001, 135435
osiris_b2, , 1506, 6933, , 19223, 119360, 138583, 385993, 407985
osiris_b5, , 1841, 8602, , 24128, 60320, 84448, 216540, 244716
pickup_a9, , 1223, 6493, , 17532, 0, 17532, 30518, 52596
powerhouse_unpacked, , 3743, 13609, , 43093, 27488, 70581, 151127, 209271
pumpstation_a10, , 819, 2354, , 6076, 7168, 13244, 32064, 39396
